news_report_url;news_report_headline;news_report_platform;date_of_publication;author;wire_service;Notes;NO OF SUBS
Widow stabbed to death;NA;NW;26/04/2012;Siyathemba Ben;;;3
Relief for PMB's supercop;NA;NW;11/06/2013;Ingrid Oellermann;;;3
https://www.news24.com/Archives/Witness/Widows-killer-gets-life-plus-15-years-20150430;NA;NW;20/05/2013;Ingrid Oellermann;;;3
https://www.news24.com/Archives/Witness/Stabbing-death-judge-allows-confession-20150430;Stabbing death_ judge allows confession _ News24;NW;16/05/2013;Ingrid Oellermann;;;3
https://www.iol.co.za/news/crime-courts/cop-vindicated-as-charges-dropped-1530668;Cop vindicated as charges dropped _ IOL News;DAILY NEWS;11/06/2013;Sherlissa Peters and Shan Pillay;;;3
https://www.pressreader.com/south-africa/post/20120502/281513633163699;Venotha Ince Post 02052012;POST;02/05/2012;Jolene Marriah;;;3
https://www.news24.com/Archives/Witness/Cops-forced-confession-says-accused-20150430;Cops forced confession, says accused _ News24;NW;15/05/2013;Ingrid Oellermann;;;3
http://www.news24.com/SouthAfrica/News/Hunt-on-for-Rhodes-students-killers-20120416;Hunt on for Rhodes student's killers;N24;16/04/2012;Nielen Bottomley;;;1
http://thenewage.co.za/50450-1016-53-Students_alleged_killer_arrested;ND;TNA;17/04/2012;ND;;;1
http://www.sabc.co.za/news/a/5b86ab804b27bb818f23ef5e941681eb/Suspect-arrested-over-PE-student-death-20120507;SABC News - Suspect arrested over PE student death_Monday 7 May 2012.pdf;SABC;07/05/2012;SABC;;;1
http://www.grocotts.co.za/2012/04/14/rhodes-graduate-murdered-en-route-to-graduation-ceremony/;Rhodes graduate murdered en route to graduation ceremony;Grocotts;14/04/2012;Michael Salzwedel;;;1
http://www.grocotts.co.za/2012/04/16/community-reels-at-students-murder/;Community reels at studentís murder;Grocotts;16/04/2012;ND;;;1
http://www.grocotts.co.za/content/rhodes-grad-murder-suspect-pleads-not-guilty-01-05-2014;ND;Grocotts;01/05/2012;ND;;;1
http://www.dispatchlive.co.za/news/rhodes-honours-slain-student/;ND;DD;02/05/2012;ND;;;1
http://m24arg02.naspers.com/argief/berigte/dailysun/2012/04/17/DJ/7/GRADUATIONS.html;ND;Daily Sun;17/04/2012;ND;;;1
http://152.111.1.87/argief/berigte/dieburger/2014/04/30/4/ooshofdrama_30_0_13638853.html;ND;BURGER;30/04/2014;ND;;;1
http://www.metronewspaper.co.za/2012/04/16/rhodes-student-murdered/;Rhodes student murdered _ Metro247;Metro Newspaper;16/04/2012;Derrick Spies;;;1
http://www.son.co.za/nuus/2014-12-11-ou-kry-2x-life-en-ng-55-sel-jare;ou kry 2x life en nóg 55 sel-jare _ Die Son;DIE SON;11/12/2014;Abrie Burger;;;1
http://www.heraldlive.co.za/student-murder-twist/;Student murder twist - HeraldLIVE;EPH;07/05/2012;Lynn Williams;;;1
http://www.heraldlive.co.za/murder-accuseds-plea-shock/;Murder accused's plea shock - HeraldLIVE;EPH;01/05/2014;Alan Williams Lee-Anne Butler;;;1
http://www.heraldlive.co.za/anguish-of-slain-students-mother/;Anguish of slain student’s mother - HeraldLIVE;EPH;17/04/2012;Duncan Reyneke;;;1
http://www.dailysun.co.za/news/2014-12-11-kiss-of-justice;KISS OF JUSTICE! _ Daily Sun;DAILY SUN;11/12/2014;Luvuyo Mehlwana;;;1
http://152.111.1.87/argief/berigte/citypress/2012/04/16/CP/2/newp2throwaway.html;ND;CP;16/04/2012;ND;;;1
http://www.son.co.za/nuus/2015-01-01-van-die-2014-nuusgebeure-in-die-baai?vc=a517168e653cffbf5fd25d1607d2b674;Van die 2014 nuusgebeure in die baai _ Die Son;DIE SON;01/01/2015;STAFF;;;1
http://www.heraldlive.co.za/die-prison-satan/;'Die in prison, you Satan' - HeraldLIVE;EPH;11/12/2014;Hendrick Mphande;;;1
Rhodes murder accused linked to another rape;news_report_headline;EPH;06/08/2013;Nomahlubi Jordaan;;;1
Murdered student to be honoured;NA;EPH;17/05/2012;Adrienne Carlisle;;;1
